지역,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12
서울,2983,2482,3099,3283,3497,3290,3311,3447,3313,3634,3669,3250
부산,996,951,1067,1100,1127,1014,1159,1128,1054,1201,1100,1095
대구,1035,961,1200,1249,1282,1226,1168,1196,1217,1372,1372,1258
인천,591,532,655,738,782,681,759,743,736,829,854,798
