지역,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12
서울,3192,2973,3072,3219,3454,3253,3321,3203,3144,3500,3243,3221
부산,965,859,1019,963,1016,969,1030,1021,1007,1029,1039,1020
대구,1044,908,1030,1105,1165,1116,1152,1130,1122,1131,1198,1098
인천,694,636,585,613,666,606,671,598,679,674,611,599
